Tipo;Utilizador;Data de Início;Tempo de Toque;Duração;Data de Fim;Fuso Horário;Origem;Destino;Destino Final;Serviço;Número de Páginas do Fax;Telefone de Origem;Tipo de localização;Tipo de Encaminhamento;Atendida;Percurso no Grupo de Atendimento;Tempo da Fila de Espera;Tipo de Telefone;Contexto de Acesso da Chamada;Identificação Chamada;Identificador Global da Chamada;Identificação de chamada reencaminhada;País;Causa de Não Atendimento;Destino_norm;Origem_norm;DataHora
Chamada Não Atendida;260283/400;13/06/25 09:46;00:00:02;;13/06/25 09:46;'Europe/Lisbon';'+351939072626';'+351234246184';'260283.1704827218a.geo1';Chamada voz;;'260283.1704827218a.geo1';Nacional;;Não atendida;;;Geográfico IP;Desconhecido;'00000011749835050613094643000014041800';'317aba8b-b531-43fd-b49b-26c650774a1c';;;Cancelada pela origem;351234246184;351939072626;2025-06-13 09:46:00
Chamada Não Atendida;260283/400;10/06/25 09:53;00:00:59;;10/06/25 09:54;'Europe/Lisbon';'+351928038097';'+351234246184';'260283.1704827218a.geo1';Chamada voz;;'260283.1704827218a.geo1';Nacional;;Não atendida;;;Geográfico IP;Desconhecido;'00000011749533210610095303000014041800';'9ec92688-bcd2-4383-97ac-58e90fe72a39';;;Cancelada pela origem;351234246184;351928038097;2025-06-10 09:53:00
